# Fields: KEY VALUE MASKED RAW DESC

CI_PUSH_TOKEN,access-token-value,true,true,Access Token with write repository permissions.
CI_PUSH_USER,,false,true,Optional user for the CI_PUSH_TOKEN access token.
SKIP_MERGE_PIPELINE,0,false,true,Set to 1 to skip merge request pipelines.
SYNC,1,false,true,Sync Device Group at end of pipeline job.

# Runner tag
F5_ENV,f5,false,true,F5 environment name.

# Branches
DEPLOY_BRANCHES,/^(dev|test|prod)$/,false,true,Deployment branches.
DRAFT_BRANCHES,/^(draft)$/,false,true,Draft branches.
DRAFT_STAGE,dev,false,true,Stage for the draft branch.

# Dev stage
F5_ADDRESS_DEV,,false,true,Hostname or IP of the Dev-F5.
F5_USER_DEV,,false,true,User for the Dev-F5.
F5_PASS_DEV,password,true,true,Password for the Dev-F5.

# Test stage
F5_ADDRESS_TEST,,false,true,Hostname or IP of the Test-F5.
F5_USER_TEST,,false,true,User for the Test-F5.
F5_PASS_TEST,password,true,true,Password for the Test-F5.

# Prod stage
F5_ADDRESS_PROD,,false,true,Hostname or IP of the Prod-F5.
F5_USER_PROD,,false,true,User for the Prod-F5.
F5_PASS_PROD,password,true,true,Password for the Prod-F5.
